,"Gross national income per capita 2012, Atlas method and PPP",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,Purchasing,,,,,,,
,,,,Atlas,,,,,,power parity,,,,,,,
,,,,methodology,,,,,,(international,,,,,,,
,Ranking,,Economy,(US dollars),,,Ranking,,Economy,dollars),,,,,,,
,,,,,,,,,,,,,,,,,
TKM,115,,Turkmenistan,"5,410",,,127,,El Salvador,"6,720",b,,SLV,,,,
SRB,116,,Serbia,"5,280",,,129,,"Egypt, Arab Rep.","6,450",,,EGY,,,,
THA,117,,Thailand,"5,210",,,130,,Timor-Leste,"6,230",b,,TMP,,,,
ECU,118,,Ecuador,"5,170",,,131,,Bhutan,"6,200",,,BTN,,,,
JAM,119,,Jamaica,"5,120",,,133,,Sri Lanka,"6,030",,,LKA,,,,
DZA,120,,Algeria,"5,020",,,134,,Jordan,"5,980",,,JOR,,,,
BIH,121,,Bosnia and Herzegovina,"4,750",,,135,,Georgia,"5,770",d,,GEO,,,,
JOR,122,,Jordan,"4,670",,,136,,Paraguay,"5,720",,,PRY,,,,
MKD,123,,"Macedonia, FYR","4,620",,,137,,Angola,"5,400",,,AGO,,,,
AGO,124,,Angola,"4,580",,,138,,Syrian Arab Republic,"5,120",,,SYR,,,,
BLZ,125,,Belize,"4,490",a,,139,,Morocco,"5,060",e,,MAR,,,,
TON,126,,Tonga,"4,220",,,140,,Mongolia,"5,020",,,MNG,,,,
TUN,127,,Tunisia,"4,150",,,140,,Tonga,"5,020",b,,TON,,,,
FJI,128,,Fiji,"4,110",,,142,,Cape Verde,"4,930",,,CPV,,,,
MHL,129,,Marshall Islands,"4,040",,,143,,Bolivia,"4,880",,,BOL,,,,
ALB,130,,Albania,"4,030",,,143,,Guatemala,"4,880",b,,GTM,,,,
CPV,131,,Cape Verde,"3,830",,,145,,Swaziland,"4,760",,,SWZ,,,,
ARM,132,,Armenia,"3,720",,,146,,Indonesia,"4,730",,,IDN,,,,
TMP,133,,Timor-Leste,"3,620",,,147,,Fiji,"4,690",,,FJI,,,,
KSV,134,,Kosovo,"3,600",,,148,,Philippines,"4,380",,,PHL,,,,
SLV,135,,El Salvador,"3,590",,,149,,Vanuatu,"4,300",b,,VUT,,,,
UKR,136,,Ukraine,"3,500",,,151,,Samoa,"4,250",b,,WSM,,,,
IDN,137,,Indonesia,"3,420",,,152,,Iraq,"4,230",,,IRQ,,,,
GUY,138,,Guyana,"3,410",,,153,,"Micronesia, Fed. Sts.","3,920",b,,FSM,,,,
PRY,139,,Paraguay,"3,400",,,154,,India,"3,910",,,IND,,,,
GEO,140,,Georgia,"3,270",d,,155,,Nicaragua,"3,890",b,,NIC,,,,
WSM,141,,Samoa,"3,260",,,156,,Honduras,"3,880",b,,HND,,,,
FSM,142,,"Micronesia, Fed. Sts.","3,230",,,157,,Kiribati,"3,870",b,,KIR,,,,
MNG,143,,Mongolia,"3,160",,,158,,Uzbekistan,"3,670",b,,UZB,,,,
GTM,144,,Guatemala,"3,120",,,159,,Moldova,"3,630",f,,MDA,,,,
VUT,145,,Vanuatu,"3,000",,,160,,Vietnam,"3,620",,,VNM,,,,
EGY,146,,"Egypt, Arab Rep.","2,980",,,161,,"Congo, Rep.","3,450",,,COG,,,,
MAR,147,,Morocco,"2,960",e,,162,,Guyana,"3,340",b,,GUY,,,,
LKA,148,,Sri Lanka,"2,920",,,163,,Pakistan,"2,880",,,PAK,,,,
SWZ,149,,Swaziland,"2,860",,,165,,Papua New Guinea,"2,740",b,,PNG,,,,
